id,paragraph,source,category
64,"MongoDB is a source-available cross-platform document-oriented database program classified as a NoSQL database.",NoSQL Databases,Technology
65,"ETL (Extract, Transform, Load) is a process in data warehousing responsible for pulling data out of source systems and placing it into a data warehouse.",Data Integration,Technology
66,"Data visualization is the graphical representation of information and data using visual elements like charts, graphs, and maps.",Data Communication,Technology
67,"Tableau is a visual analytics platform that helps people see and understand their data through interactive visualizations.",Visualization Tools,Technology
68,"Power BI is a business analytics service by Microsoft that provides interactive visualizations with self-service business intelligence capabilities.",Business Intelligence,Technology
69,"Cybersecurity is the practice of protecting systems, networks, and programs from digital attacks.",Information Security,Technology
70,"Encryption is the process of encoding information in such a way that only authorized parties can access it.",Data Protection,Technology
71,"Blockchain is a growing list of records, called blocks, that are linked using cryptography and are resistant to modification of the data.",Distributed Ledger,Technology
72,"Internet of Things (IoT) refers to the network of physical objects embedded with sensors, software, and other technologies for connecting and exchanging data.",Connected Devices,Technology
73,"Edge computing is a distributed computing paradigm that brings computation and data storage closer to the location where it is needed.",Computing Architecture,Technology
74,"5G is the fifth generation technology standard for cellular networks, promising higher data rates and more reliable connections.",Telecommunications,Technology
75,"Augmented reality (AR) is an interactive experience where real-world environments are enhanced with computer-generated perceptual information.",Immersive Technology,Technology
76,"Virtual reality (VR) is a simulated experience that can be similar to or completely different from the real world.",Immersive Technology,Technology
77,"Human-Computer Interaction (HCI) is a multidisciplinary field focused on the design of computer technology and the interaction between humans and computers.",User Experience,Technology
78,"User Experience (UX) design is the process design teams use to create products that provide meaningful and relevant experiences to users.",Design Principles,Technology
79,"Agile software development encompasses various approaches to software development under which requirements and solutions evolve through collaborative effort.",Development Methodology,Technology
80,"Scrum is an agile framework for developing, delivering, and sustaining complex products, with an emphasis on software development.",Project Management,Technology
81,"Technical debt is a concept in software development that reflects the implied cost of additional rework caused by choosing an easy solution now.",Development Concepts,Technology
82,"Open-source software is code that is designed to be publicly accessible—anyone can see, modify, and distribute the code as they see fit.",Software Licensing,Technology
83,"GitHub is a provider of Internet hosting for software development and version control using Git, offering distributed version control and source code management.",Development Tools,Technology
84,"Git is a distributed version-control system for tracking changes in source code during software development.",Version Control,Technology
85,"Digital transformation is the adoption of digital technology to transform services or businesses by replacing non-digital or manual processes with digital ones.",Business Strategy,Technology
86,"Industry 4.0 refers to the fourth industrial revolution, which encompasses automation, data exchange, and manufacturing technologies.",Industrial Innovation,Technology
87,"Artificial General Intelligence (AGI) refers to highly autonomous systems that outperform humans at most economically valuable work.",Advanced AI,Technology
88,"Robotics is an interdisciplinary branch of engineering and science that includes mechanical engineering, electronic engineering, and computer science.",Automation Technology,Technology
89,"Quantum computing is a type of computation that harnesses the collective properties of quantum states to perform calculations.",Emerging Technology,Technology
90,"Bioinformatics is an interdisciplinary field that develops methods and software tools for understanding biological data.",Computational Biology,Technology
91,"Fintech refers to new technology that seeks to improve and automate the delivery and use of financial services.",Financial Technology,Technology
92,"Smart cities use different types of electronic methods and sensors to collect data, which is used to manage assets and resources efficiently.",Urban Technology,Technology
93,"The Internet of Medical Things (IoMT) refers to the connected infrastructure of medical devices and software applications that connect to healthcare IT systems.",Healthcare Technology,Technology
94,"Nanotechnology is the manipulation of matter on an atomic, molecular, and supramolecular scale.",Materials Science,Technology
95,"Renewable energy technology focuses on generating energy from renewable resources such as sunlight, wind, rain, tides, and geothermal heat.",Energy Technology,Technology
96,"3D printing, or additive manufacturing, is the construction of a three-dimensional object from a CAD model or a digital 3D model.",Manufacturing Technology,Technology
97,"Brain-computer interfaces (BCIs) are direct communication pathways between the brain's electrical activity and an external device, typically a computer.",Neural Technology,Technology
98,"Smart home technology provides homeowners with convenience, comfort, security, and energy efficiency by allowing control over home systems remotely.",Home Automation,Technology
99,"Cryptography is the practice and study of techniques for secure communication in the presence of third parties called adversaries.",Security Technology,Technology
100,"Digital ethics addresses the moral problems related to data, algorithms, and corresponding practices to formulate and support morally good solutions.",Technology Ethics,Technology
